date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:03:07	1631/1631	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2022%20Nov%202024%2022:26:59%20GMT	https://nonfungiblecrib.my.canva.site/media/c94c52a78ff29f4546eabfad4059e7a7.svg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/c94c52a78ff29f4546eabfad4059e7a7.svg	(from https://nonfungiblecrib.my.canva.site/)
00:03:07	1631/1631	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2022%20Nov%202024%2022:56:11%20GMT	https://nonfungiblecrib.my.canva.site/media/73d65eb9afe3d916d0999d64d9236d06.svg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/73d65eb9afe3d916d0999d64d9236d06.svg	(from https://nonfungiblecrib.my.canva.site/)
00:03:08	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:03:08%20GMT	http://nonfungiblecrib.my.canva.site/media/3acbf7152d571100f63c8e926f655d9e.svg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/3acbf7152d571100f63c8e926f655d9e.svg	(from https://nonfungiblecrib.my.canva.site/)
00:03:08	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:03:09%20GMT	http://nonfungiblecrib.my.canva.site/media/13331b0adb5f8c10060af1b0d711335d.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/13331b0adb5f8c10060af1b0d711335d.jpg	(from https://nonfungiblecrib.my.canva.site/)
00:03:08	4406/4406	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2022%20Nov%202024%2022:27:36%20GMT	https://nonfungiblecrib.my.canva.site/media/3acbf7152d571100f63c8e926f655d9e.svg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/3acbf7152d571100f63c8e926f655d9e.svg	(from https://nonfungiblecrib.my.canva.site/)
00:03:08	6415/6415	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Nov%202024%2022:27:13%20GMT	https://nonfungiblecrib.my.canva.site/media/13331b0adb5f8c10060af1b0d711335d.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/13331b0adb5f8c10060af1b0d711335d.jpg	(from https://nonfungiblecrib.my.canva.site/)
00:03:08	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:03:09%20GMT	http://nonfungiblecrib.my.canva.site/media/8b511a626d33259e54394e909b6b4896.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/8b511a626d33259e54394e909b6b4896.jpg	(from https://nonfungiblecrib.my.canva.site/)
00:03:09	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:03:10%20GMT	http://nonfungiblecrib.my.canva.site/media/f5f7e7f265eda938d0d5b398ec26a6a7.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/f5f7e7f265eda938d0d5b398ec26a6a7.jpg	(from https://nonfungiblecrib.my.canva.site/)
00:03:09	35138/35138	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Nov%202024%2022:56:12%20GMT	https://nonfungiblecrib.my.canva.site/media/8b511a626d33259e54394e909b6b4896.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/8b511a626d33259e54394e909b6b4896.jpg	(from https://nonfungiblecrib.my.canva.site/)
00:03:09	86769/86769	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Nov%202024%2022:56:14%20GMT	https://nonfungiblecrib.my.canva.site/media/f5f7e7f265eda938d0d5b398ec26a6a7.jpg	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/media/f5f7e7f265eda938d0d5b398ec26a6a7.jpg	(from https://nonfungiblecrib.my.canva.site/)
